,400248173885 VERSACE L 'HOMME 3.,$34.99R
0,400244460217 xGrainam 24 Blk 4W,$84.99R
1,Subtotal,$119.98
2,Sales Tax 8.250%,$9.90
3,Total,$129.88
4,Sold: 2 Returned: 0, 
5,Visa,$129.88
